raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
39,1,1,2,8,4,2,2,2,2,
39,8,6,6,0,3,,19,R,0,
39,4,1,3,6,2,3,3,3,-2,
39,13,6,1,10,1,1,1,1,0,
40,27,12,20,0,22,19,19,19,1,
40,11,8,15,0,21,17,17,17,4,
40,23,7,17,0,20,16,16,16,-2,
40,16,12,19,0,19,,20,R,-1,
40,26,5,10,0,18,9,9,9,4,
40,19,8,16,0,17,18,18,18,-2,
40,8,6,6,1,16,8,8,8,4,
40,5,4,14,0,15,13,13,13,-1,
40,15,7,18,0,14,15,15,15,-4,
40,14,9,8,0,13,14,14,14,-2,
40,24,5,,0,12,,22,R,-1,
40,25,3,7,2,11,7,7,7,1,
40,18,11,9,0,10,11,11,11,-1,
40,22,11,13,0,9,10,10,10,2,
40,9,2,3,4,8,5,5,5,-1,
40,2,2,12,3,7,6,6,6,2,
40,17,9,21,0,6,,21,R,-2,
40,3,3,11,0,5,12,12,12,-1,
40,21,4,5,5,4,4,4,4,0,
40,13,6,4,6,3,3,3,3,0,
40,1,1,2,8,2,2,2,2,0,
40,4,1,1,10,1,1,1,1,0,
41,5,4,13,5,22,4,4,4,4,
41,27,12,18,0,21,,15,R,0,
41,16,12,20,0,20,,18,R,0,
41,25,3,11,6,19,3,3,3,4,
41,23,7,10,1,18,8,8,8,-1,
41,19,8,15,0,17,11,11,11,0,
41,26,5,21,0,16,,19,R,0,
41,18,11,,0,15,,20,R,-999,
41,14,9,16,0,14,,16,R,0,
41,22,11,14,0,13,12,12,12,0,
41,24,5,19,0,12,,14,R,0,
41,11,8,12,3,11,6,6,6,1,
41,15,7,17,0,10,,13,R,-1,
41,21,4,7,0,9,,22,D,2,
41,9,2,8,0,8,,17,R,0,
41,3,3,6,0,7,10,10,10,2,
41,17,9,9,0,6,9,9,9,-3,
41,13,6,4,0,5,,21,D,1,
41,8,6,5,4,4,5,5,5,-2,
41,2,2,3,8,3,2,2,2,1,
41,4,1,1,2,2,7,7,7,-1,
41,1,1,2,10,1,1,1,1,0,
43,11,8,16,0,22,16,16,16,6,
43,16,12,18,0,21,17,17,17,3,
43,27,12,19,0,20,,19,R,3,
43,19,8,,0,19,,20,R,0,
43,25,3,13,0,18,14,14,14,3,
43,24,5,,0,17,,22,R,-999,
43,14,9,15,0,16,13,13,13,3,
43,26,5,17,0,15,,18,R,1,
43,17,9,14,0,14,12,12,12,2,
43,22,11,12,0,13,11,11,11,3,
43,18,11,6,1,12,8,8,8,3,
43,23,7,8,0,11,10,10,10,0,
43,4,1,3,2,10,7,7,7,2,
43,3,3,9,0,9,9,9,9,2,
43,15,7,,0,8,,21,R,-13,
43,2,2,7,4,7,5,5,5,1,
43,5,4,11,0,6,15,15,15,-14,
43,21,4,5,3,5,6,6,6,0,
43,9,2,10,5,4,4,4,4,0,
43,8,6,2,10,3,1,1,1,1,
43,1,1,4,6,2,3,3,3,-1,
43,13,6,1,8,1,2,2,2,0,
44,27,12,21,0,22,15,15,15,1,
44,11,8,14,0,21,14,14,14,-1,
44,16,12,22,0,20,,21,R,0,
44,19,8,20,0,19,,18,R,1,
44,18,11,16,0,18,10,10,10,1,
44,3,3,11,0,17,12,12,12,3,
44,24,5,17,0,16,16,16,16,1,
44,26,5,15,0,15,,19,R,3,
44,22,11,13,0,14,9,9,9,-2,
44,25,3,10,0,13,13,13,13,0,
44,14,9,12,0,12,11,11,11,1,
44,17,9,19,0,11,,22,R,2,
44,15,7,18,0,10,,17,R,0,
44,2,2,5,3,9,6,6,6,2,
44,21,4,7,1,8,8,8,8,2,
44,5,4,9,2,7,7,7,7,2,
44,23,7,8,0,6,,20,R,-2,
44,9,2,6,5,5,4,4,4,1,
44,13,6,2,4,4,5,5,5,-15,
44,4,1,3,8,3,2,2,2,0,
44,8,6,1,10,2,1,1,1,0,
44,1,1,4,6,1,3,3,3,0,
45,28,12,17,0,22,,17,R,12,
45,16,12,19,0,21,,19,R,0,
45,14,9,6,4,20,5,5,5,2,
45,24,5,22,0,19,,22,R,5,
45,26,5,21,0,18,,21,R,5,
45,18,11,18,0,17,,18,R,8,
45,11,8,16,0,16,,15,R,9,
45,19,8,13,0,15,12,12,12,0,
45,22,11,14,0,14,11,11,11,-6,
45,21,4,12,0,13,10,10,10,5,
45,25,3,5,5,12,4,4,4,8,
45,3,3,20,0,11,,20,R,-6,
45,1,1,3,0,10,9,9,9,-9,
45,23,7,15,0,9,,16,R,-7,
45,15,7,10,0,8,13,13,13,3,
45,5,4,11,1,7,8,8,8,-4,
45,17,9,8,6,6,3,3,3,0,
45,9,2,9,2,5,7,7,7,-7,
45,2,2,7,3,4,6,6,6,-18,
45,13,6,1,8,3,2,2,2,1,
45,4,1,2,10,2,1,1,1,-1,
45,8,6,4,0,1,,14,R,0,
46,29,12,22,0,22,,22,R,0,
46,16,12,19,0,21,17,17,17,1,
46,20,5,16,0,20,16,16,16,2,
46,11,8,10,0,19,15,15,15,4,
46,22,11,17,0,18,18,18,18,-3,
46,18,11,21,0,17,,21,R,-2,
46,24,5,20,0,16,,19,R,-1,
46,19,8,18,0,15,,20,R,2,
46,13,6,11,0,14,13,13,13,-2,
46,21,4,15,0,13,12,12,12,2,
46,25,3,13,0,12,14,14,14,-2,
46,5,4,8,1,11,8,8,8,2,
46,14,9,14,0,10,11,11,11,0,
46,17,9,7,0,9,9,9,9,2,
46,15,7,12,0,8,10,10,10,-4,
46,9,2,4,4,7,5,5,5,1,
46,4,1,3,5,6,4,4,4,-2,
46,23,7,9,3,5,6,6,6,0,
46,3,3,6,2,4,7,7,7,0,
46,8,6,1,8,3,2,2,2,1,
46,2,2,5,6,2,3,3,3,-1,
46,1,1,2,10,1,1,1,1,0,
48,29,12,21,0,22,20,20,20,1,
48,16,12,20,0,21,19,19,19,1,
48,14,9,,0,20,,22,R,5,
48,24,5,19,0,19,17,17,17,0,
48,23,7,15,0,18,15,15,15,0,
48,11,8,11,0,17,16,16,16,0,
48,20,5,18,0,16,18,18,18,-6,
48,21,4,14,0,15,12,12,12,1,
48,19,8,17,0,14,14,14,14,-2,
48,25,3,16,0,13,13,13,13,1,
48,22,11,12,0,12,10,10,10,1,
48,17,9,13,0,11,9,9,9,1,
48,18,11,9,1,10,8,8,8,1,
48,15,7,10,0,9,11,11,11,-4,
48,3,3,8,3,8,6,6,6,0,
48,5,4,7,2,7,7,7,7,0,
48,9,2,5,4,6,5,5,5,0,
48,8,6,3,6,5,3,3,3,1,
48,2,2,4,5,4,4,4,4,-1,
48,13,6,6,0,3,,21,R,0,
48,1,1,2,8,2,2,2,2,0,
48,4,1,1,10,1,1,1,1,0,
49,21,4,,0,22,,22,R,0,
49,29,12,20,0,21,17,17,17,1,
49,19,8,19,0,20,16,16,16,-1,
49,16,12,15,0,19,14,14,14,4,
49,11,8,14,0,18,15,15,15,-1,
49,22,11,12,0,17,13,13,13,0,
49,20,5,21,0,16,,21,R,-2,
49,25,3,18,0,15,,19,R,-1,
49,9,2,6,0,14,9,9,9,1,
49,24,5,13,0,13,12,12,12,-1,
49,18,11,16,0,12,,18,R,0,
49,14,9,17,0,11,,20,R,1,
49,23,7,10,0,10,10,10,10,1,
49,5,4,8,1,9,8,8,8,3,
49,15,7,7,0,8,11,11,11,-3,
49,17,9,11,2,7,7,7,7,0,
49,2,2,5,4,6,5,5,5,-2,
49,3,3,9,3,5,6,6,6,0,
49,1,1,4,5,4,4,4,4,0,
49,4,1,3,6,3,3,3,3,0,
49,13,6,1,8,2,2,2,2,0,
49,8,6,2,10,1,1,1,1,0,
50,29,12,20,0,22,12,12,12,2,
50,11,8,16,0,21,15,15,15,2,
50,16,12,18,1,20,8,8,8,2,
50,19,8,17,0,19,,17,R,2,
50,25,3,22,0,18,,22,R,-3,
50,22,11,15,0,17,10,10,10,1,
50,3,3,10,0,16,,18,R,1,
50,23,7,14,0,15,,16,R,1,
50,24,5,13,0,14,9,9,9,-8,
50,15,7,21,0,13,13,13,13,0,
50,14,9,11,5,12,4,4,4,0,
50,5,4,9,8,11,2,2,2,0,
50,21,4,12,4,10,5,5,5,0,
50,9,2,4,2,9,7,7,7,0,
50,20,5,5,0,8,,19,R,0,
50,17,9,3,0,7,,20,R,0,
50,18,11,19,0,6,11,11,11,0,
50,2,2,6,0,5,14,14,14,0,
50,13,6,7,3,4,6,6,6,0,
50,8,6,8,6,3,3,3,3,0,
50,4,1,2,0,2,,21,R,0,
